
Target: FloripaSat_2

Observer: INPE_RN
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
30 Jan 2022 02:17:32.473    30 Jan 2022 02:23:56.697      384.22456646    
30 Jan 2022 14:28:57.798    30 Jan 2022 14:34:17.131      319.33352837    
31 Jan 2022 02:11:03.896    31 Jan 2022 02:17:14.180      370.28413714    
31 Jan 2022 14:22:07.371    31 Jan 2022 14:27:54.533      347.16146125    
01 Feb 2022 02:04:37.941    01 Feb 2022 02:10:27.327      349.38659314    
01 Feb 2022 14:15:20.763    01 Feb 2022 14:21:27.601      366.83778721    
02 Feb 2022 01:58:15.367    02 Feb 2022 02:03:35.386      320.01933736    
02 Feb 2022 14:08:37.307    02 Feb 2022 14:14:57.014      379.70655165    
03 Feb 2022 01:51:57.600    03 Feb 2022 01:56:36.931      279.33085451    
03 Feb 2022 03:27:35.213    03 Feb 2022 03:29:33.885      118.67164497    
03 Feb 2022 14:01:56.638    03 Feb 2022 14:08:23.148      386.51008545    
04 Feb 2022 01:45:47.860    04 Feb 2022 01:49:28.746      220.88572418    
04 Feb 2022 03:20:13.177    04 Feb 2022 03:23:46.758      213.58038322    
04 Feb 2022 13:55:18.575    04 Feb 2022 14:01:46.194      387.61887577    
05 Feb 2022 01:39:58.128    05 Feb 2022 01:41:58.847      120.71967688    
05 Feb 2022 03:13:09.300    05 Feb 2022 03:17:39.602      270.30239344    
05 Feb 2022 13:48:43.082    05 Feb 2022 13:55:06.206      383.12412514    
06 Feb 2022 03:06:12.775    06 Feb 2022 03:11:23.243      310.46821863    
06 Feb 2022 13:42:10.250    06 Feb 2022 13:48:23.107      372.85697133    
07 Feb 2022 02:59:20.678    07 Feb 2022 03:05:00.622      339.94444271    
07 Feb 2022 13:35:40.324    07 Feb 2022 13:41:36.669      356.34547054    
08 Feb 2022 02:52:31.731    08 Feb 2022 02:58:33.033      361.30176344    
08 Feb 2022 13:29:13.766    08 Feb 2022 13:34:46.448      332.68150968    
09 Feb 2022 02:45:45.278    09 Feb 2022 02:52:01.146      375.86766713    
09 Feb 2022 13:22:51.423    09 Feb 2022 13:27:51.616      300.19299587    
10 Feb 2022 02:39:00.972    10 Feb 2022 02:45:25.322      384.35014790    
10 Feb 2022 13:16:34.973    10 Feb 2022 13:20:50.519      255.54545025    
10 Feb 2022 14:51:46.413    10 Feb 2022 14:54:27.870      161.45716337    
11 Feb 2022 02:32:18.652    11 Feb 2022 02:38:45.729      387.07661012    
11 Feb 2022 13:10:28.611    11 Feb 2022 13:13:38.983      190.37211416    
11 Feb 2022 14:44:22.331    11 Feb 2022 14:48:25.156      242.82538590    
